,brent
2019-01-03,54.99
2019-01-04,55.06
2019-01-07,55.29
2019-01-08,55.35
2019-01-09,55.35
2019-01-10,55.4
2019-01-11,55.47
2019-01-14,55.69
2019-01-15,55.75
2019-01-16,55.71
2019-01-17,55.75
2019-01-18,55.84
2019-01-21,56.02
2019-01-22,56.16
2019-01-23,56.24
2019-01-24,56.35
2019-01-25,56.34
2019-01-28,56.39
2019-01-29,56.42
2019-01-30,56.41
2019-01-31,56.58
2019-02-01,56.55
2019-02-04,56.69
2019-02-05,56.76
2019-02-06,56.78
2019-02-07,56.8
2019-02-08,56.85
2019-02-11,56.98
2019-02-12,56.94
2019-02-13,56.8
2019-02-14,56.7
2019-02-15,56.77
2019-02-18,56.86
2019-02-19,56.87
2019-02-20,56.89
2019-02-21,56.95
2019-02-22,57.02
2019-02-25,57.13
2019-02-26,57.16
2019-02-27,57.21
2019-02-28,57.39
2019-03-01,57.57
2019-03-04,57.97
2019-03-05,58.08
2019-03-06,58.05
2019-03-07,58.11
2019-03-08,58.18
2019-03-11,58.36
2019-03-12,58.51
2019-03-13,58.55
2019-03-14,58.57
2019-03-15,58.91
2019-03-18,59.18
2019-03-19,59.21
2019-03-20,59.4
2019-03-21,59.31
2019-03-22,59.46
2019-03-25,59.78
2019-03-26,59.87
2019-03-27,59.9
2019-03-28,59.83
2019-03-29,59.83
2019-04-01,59.87
2019-04-02,59.9
2019-04-03,59.85
2019-04-04,59.97
2019-04-05,60.05
2019-04-08,60.13
2019-04-09,60.28
2019-04-10,60.36
2019-04-11,60.38
2019-04-12,60.24
2019-04-15,60.54
2019-04-16,60.61
2019-04-17,60.74
2019-04-18,60.78
2019-04-19,60.77
2019-04-22,60.85
2019-04-23,60.77
2019-04-24,61.0
2019-04-25,61.19
2019-04-26,61.26
2019-04-29,61.49
2019-04-30,61.48
2019-05-01,61.69
2019-05-02,61.87
2019-05-03,61.98
2019-05-06,62.09
2019-05-07,62.13
2019-05-08,62.06
2019-05-09,62.25
2019-05-10,62.29
2019-05-13,62.45
2019-05-14,62.45
2019-05-15,62.62
2019-05-16,62.76
2019-05-17,62.9
2019-05-20,63.25
2019-05-21,63.2
2019-05-22,63.29
2019-05-23,63.34
2019-05-24,63.41
2019-05-27,63.6
2019-05-28,63.6
2019-05-29,63.51
2019-05-30,63.47
2019-05-31,63.6
2019-06-03,63.82
2019-06-04,64.01
2019-06-05,64.1
2019-06-06,64.2
2019-06-07,64.29
2019-06-10,64.35
2019-06-11,64.35
2019-06-12,64.49
2019-06-13,64.66
2019-06-14,64.84
2019-06-17,64.96
2019-06-18,64.91
2019-06-19,64.93
2019-06-20,64.97
2019-06-21,65.05
2019-06-24,65.09
2019-06-25,65.24
2019-06-26,65.31
2019-06-27,65.32
2019-06-28,65.52
2019-07-01,65.72
2019-07-02,65.71
2019-07-03,65.66
2019-07-04,65.54
2019-07-05,65.51
2019-07-08,65.77
2019-07-09,65.58
2019-07-10,65.33
2019-07-11,65.52
2019-07-12,65.51
2019-07-15,65.63
2019-07-16,65.56
2019-07-17,65.55
2019-07-18,65.71
2019-07-19,65.55
2019-07-22,65.51
2019-07-23,65.42
2019-07-24,65.45
2019-07-25,65.5
2019-07-26,65.55
2019-07-29,65.58
2019-07-30,65.62
2019-07-31,65.59
2019-08-01,65.62
2019-08-02,65.64
2019-08-05,65.56
2019-08-06,65.61
2019-08-07,65.87
2019-08-08,66.01
2019-08-09,65.9
2019-08-12,66.11
2019-08-13,66.17
2019-08-14,66.33
2019-08-15,66.36
2019-08-16,66.41
2019-08-19,66.47
2019-08-20,66.5
2019-08-21,66.56
2019-08-22,66.59
2019-08-23,66.53
2019-08-26,66.48
2019-08-27,66.35
2019-08-28,66.41
2019-08-29,66.49
2019-08-30,66.42
2019-09-02,66.38
2019-09-03,66.46
2019-09-04,66.32
2019-09-05,66.2
2019-09-06,66.28
2019-09-09,66.18
2019-09-10,66.22
2019-09-11,66.19
2019-09-12,66.3
2019-09-13,66.39
2019-09-16,66.42
2019-09-17,66.28
2019-09-18,66.29
2019-09-19,66.29
2019-09-20,66.35
2019-09-23,66.41
2019-09-24,66.49
2019-09-25,66.57
2019-09-26,66.55
2019-09-27,66.63
2019-09-30,66.51
2019-10-01,66.48
2019-10-02,66.49
2019-10-03,66.48
2019-10-04,66.49
2019-10-07,66.55
2019-10-08,66.57
2019-10-09,66.47
2019-10-10,66.42
2019-10-11,66.37
2019-10-14,66.5
2019-10-15,66.56
2019-10-16,66.6
2019-10-17,66.58
2019-10-18,66.64
2019-10-21,66.91
2019-10-22,66.78
2019-10-23,66.89
2019-10-24,66.97
2019-10-25,67.05
2019-10-28,67.0
2019-10-29,67.05
2019-10-30,67.15
2019-10-31,67.21
2019-11-01,67.02
2019-11-04,67.28
2019-11-05,67.14
2019-11-06,67.12
2019-11-07,67.07
2019-11-08,67.0
2019-11-11,67.21
2019-11-12,67.12
2019-11-13,67.06
2019-11-14,67.0
2019-11-15,67.09
2019-11-18,67.17
2019-11-19,67.06
2019-11-20,67.07
2019-11-21,67.05
2019-11-22,67.15
2019-11-25,67.27
2019-11-26,67.28
2019-11-27,67.14
2019-11-28,67.0
2019-11-29,66.98
2019-12-02,67.15
2019-12-03,67.07
2019-12-04,67.16
2019-12-05,67.16
2019-12-06,67.12
2019-12-09,67.28
2019-12-10,67.32
2019-12-11,67.31
2019-12-12,67.31
2019-12-13,67.42
2019-12-16,67.34
2019-12-17,67.48
2019-12-18,67.31
2019-12-19,67.42
2019-12-20,67.7
2019-12-23,67.63
2019-12-24,67.83
2019-12-25,68.01
2019-12-26,68.0
2019-12-27,68.04
2019-12-30,68.06
2019-12-31,68.1
2020-01-01,68.18
2020-01-02,68.44
2020-01-03,68.39
2020-01-06,68.46
2020-01-07,68.34
2020-01-08,68.21
2020-01-09,68.08
2020-01-10,67.46
2020-01-13,65.43
2020-01-14,64.81
2020-01-15,64.16
2020-01-16,63.54
2020-01-17,63.12
2020-01-20,61.25
2020-01-21,60.66
2020-01-22,60.13
2020-01-23,59.53
2020-01-24,58.92
2020-01-27,56.86
2020-01-28,56.18
2020-01-29,55.43
2020-01-30,54.86
2020-01-31,54.4
2020-02-03,52.61
2020-02-04,51.92
2020-02-05,51.1
2020-02-06,50.56
2020-02-07,50.01
2020-02-10,48.23
2020-02-11,47.62
2020-02-12,47.09
2020-02-13,46.49
2020-02-14,45.75
2020-02-17,43.9
2020-02-18,43.24
2020-02-19,42.73
2020-02-20,42.1
2020-02-21,41.4
2020-02-24,39.51
2020-02-25,38.8
2020-02-26,38.12
2020-02-27,37.53
2020-02-28,36.9
2020-03-02,34.97
2020-03-03,34.27
2020-03-04,33.62
2020-03-05,32.92
2020-03-06,32.3
2020-03-09,30.48
2020-03-10,29.87
2020-03-11,29.29
2020-03-12,28.65
2020-03-13,28.1
2020-03-16,26.25
2020-03-17,25.55
2020-03-18,24.94
2020-03-19,24.8
2020-03-20,24.64
2020-03-23,24.13
2020-03-24,24.03
2020-03-25,23.83
2020-03-26,23.66
2020-03-27,23.52
2020-03-30,23.09
2020-03-31,22.92
2020-04-01,22.74
2020-04-02,22.63
2020-04-03,22.5
2020-04-06,22.03
2020-04-07,21.89
2020-04-08,21.75
2020-04-09,21.57
2020-04-10,21.39
2020-04-13,20.91
2020-04-14,20.79
2020-04-15,20.66
2020-04-16,20.52
2020-04-17,20.38
2020-04-20,19.94
2020-04-21,20.07
2020-04-22,20.18
2020-04-23,20.29
2020-04-24,20.42
2020-04-27,20.77
2020-04-28,20.9
2020-04-29,21.04
2020-04-30,21.16
2020-05-01,21.29
2020-05-04,21.6
2020-05-05,21.77
2020-05-06,21.92
2020-05-07,22.08
2020-05-08,22.19
2020-05-11,22.61
2020-05-12,22.75
2020-05-13,22.9
2020-05-14,23.03
2020-05-15,23.15
2020-05-18,23.5
2020-05-19,23.64
2020-05-20,23.71
2020-05-21,23.82
2020-05-22,23.98
2020-05-25,24.44
2020-05-26,24.59
2020-05-27,24.68
2020-05-28,24.85
2020-05-29,24.98
2020-06-01,25.37
2020-06-02,25.47
2020-06-03,25.58
2020-06-04,25.7
2020-06-05,25.81
2020-06-08,26.18
2020-06-09,26.33
2020-06-10,26.47
2020-06-11,26.53
2020-06-12,26.69
2020-06-15,27.06
2020-06-16,27.13
2020-06-17,27.25
2020-06-18,27.38
2020-06-19,27.5
2020-06-22,27.93
2020-06-23,28.03
2020-06-24,28.19
2020-06-25,28.32
2020-06-26,28.43
2020-06-29,28.78
2020-06-30,28.91
2020-07-01,29.02
2020-07-02,29.1
2020-07-03,29.22
2020-07-06,29.67
2020-07-07,29.79
2020-07-08,29.89
2020-07-09,30.06
2020-07-10,30.2
2020-07-13,30.55
2020-07-14,30.67
2020-07-15,30.83
2020-07-16,30.94
2020-07-17,31.03
2020-07-20,31.41
2020-07-21,31.51
2020-07-22,31.54
2020-07-23,31.68
2020-07-24,31.78
2020-07-27,32.15
2020-07-28,32.26
2020-07-29,32.37
2020-07-30,32.5
2020-07-31,32.62
2020-08-03,33.03
2020-08-04,33.16
2020-08-05,33.32
2020-08-06,33.44
2020-08-07,33.56
2020-08-10,33.99
2020-08-11,34.13
2020-08-12,34.2
2020-08-13,34.39
2020-08-14,34.57
2020-08-17,34.89
2020-08-18,35.12
