date,open,high,low,close,volume
2019-01-03,151.0,152.08,148.74,151.0,36255371
2019-01-04,151.27,154.39,151.27,153.45,31721201
2019-01-07,153.8,155.58,153.8,155.03,18514034
2019-01-08,154.77,159.1,154.77,158.46,31316832
2019-01-09,157.35,160.4,157.35,159.9,20296847
2019-01-10,159.06,159.5,158.43,159.22,27972911
2019-01-11,158.9,158.9,157.4,157.54,20368124
2019-01-14,158.13,158.16,156.07,157.09,17515920
2019-01-15,156.96,157.37,155.07,157.27,33087256
2019-01-16,156.26,158.77,156.26,157.38,23110375
2019-01-17,158.46,158.46,153.83,156.35,28196196
2019-01-18,156.09,157.28,155.46,156.78,28388822
2019-01-21,156.81,160.39,156.81,160.09,44494191
2019-01-22,159.71,160.72,159.71,160.2,31789725
2019-01-23,161.04,161.46,160.93,161.04,21571721
2019-01-24,160.49,163.46,160.49,162.88,34518686
2019-01-25,162.26,166.68,161.89,163.97,33853988
2019-01-28,163.17,166.2,163.17,163.88,40777095
2019-01-29,163.28,165.64,163.28,164.48,48026296
2019-01-30,164.36,167.81,164.36,165.43,24700369
2019-01-31,164.91,166.31,164.91,166.27,41378993
2019-02-01,166.07,166.36,165.53,165.96,35143600
2019-02-04,166.8,168.01,166.32,166.47,23200530
2019-02-05,166.64,168.77,166.64,168.55,31745776
2019-02-06,167.29,169.82,167.29,169.24,35197130
2019-02-07,170.15,170.46,169.5,170.3,30825002
2019-02-08,169.77,171.12,169.64,170.66,24724427
2019-02-11,170.24,175.35,170.24,173.1,31705728
2019-02-12,173.06,174.76,173.04,173.3,31866946
2019-02-13,172.38,176.19,172.38,174.94,29546998
2019-02-14,175.34,175.34,171.49,173.65,30458849
2019-02-15,173.23,173.8,171.21,172.84,37217525
2019-02-18,173.19,173.77,171.18,173.38,49446809
2019-02-19,173.08,173.35,172.35,172.64,39517201
2019-02-20,173.36,174.64,172.22,173.12,46310053
2019-02-21,173.02,177.73,173.02,176.35,19798076
2019-02-22,176.82,177.52,175.72,176.41,32249842
2019-02-25,176.53,176.88,175.44,176.63,23020828
2019-02-26,177.23,177.23,175.09,175.33,44706375
2019-02-27,174.12,178.63,174.12,177.66,23790162
2019-02-28,178.32,179.35,175.43,177.44,14760059
2019-03-01,177.35,181.9,177.02,179.77,24475810
2019-03-04,179.85,181.71,178.7,180.63,30182380
2019-03-05,180.09,181.25,180.09,180.5,23846532
2019-03-06,180.89,182.28,177.77,180.49,35069655
2019-03-07,180.16,184.13,180.16,183.72,31504759
2019-03-08,183.07,184.36,178.83,181.88,35856416
2019-03-11,181.47,185.84,181.47,183.8,34506266
2019-03-12,183.46,189.86,183.46,188.28,23937051
2019-03-13,188.41,188.41,184.12,184.33,17765595
2019-03-14,185.03,185.03,181.65,183.69,36394502
2019-03-15,182.74,185.16,182.74,184.41,30699835
2019-03-18,184.47,191.25,184.47,190.65,22470941
2019-03-19,190.95,194.51,190.95,191.69,45693797
