date,open,high,low,close,volume
2019-01-03,13550.0,13650.41,13479.01,13550.0,351142
2019-01-04,13567.97,13984.75,13567.97,13941.95,449819
2019-01-07,13966.79,14059.86,13749.85,13883.65,371329
2019-01-08,13902.8,13902.8,13551.12,13767.7,340323
2019-01-09,13747.75,13747.75,13527.41,13545.96,394940
2019-01-10,13545.72,13545.72,13216.36,13363.58,455568
2019-01-11,13365.99,13565.82,13364.23,13460.14,223363
2019-01-14,13495.41,13758.71,13406.87,13645.83,422619
2019-01-15,13703.19,13721.87,13583.15,13643.74,551331
2019-01-16,13651.63,13914.97,13651.63,13834.32,533002
2019-01-17,13775.14,13775.14,13554.08,13644.4,608866
2019-01-18,13567.12,13567.12,13475.92,13478.87,458355
2019-01-21,13557.43,13557.43,13456.4,13476.4,388170
2019-01-22,13496.92,13669.57,13315.14,13548.8,465278
2019-01-23,13501.47,14113.0,13501.47,13908.59,413741
2019-01-24,13916.92,14044.96,13916.92,14017.74,608707
2019-01-25,13987.36,14099.7,13847.9,14015.09,212462
2019-01-28,14012.14,14367.32,14012.14,14285.07,346167
2019-01-29,14343.37,14343.37,14144.81,14257.6,277677
2019-01-30,14359.96,14359.96,13973.63,14042.29,447113
2019-01-31,14120.97,14290.38,14019.34,14146.29,161608
2019-02-01,14153.01,14153.01,13916.72,13926.54,532536
2019-02-04,13931.64,14502.31,13931.64,14150.42,384312
2019-02-05,14167.33,14167.33,13901.64,14018.91,599730
2019-02-06,14051.13,14051.13,13695.27,13830.4,462986
2019-02-07,13860.18,14285.91,13860.18,14170.68,620943
2019-02-08,14260.38,14260.38,13782.21,13962.33,501728
2019-02-11,13940.12,13940.12,13620.59,13645.51,539717
2019-02-12,13766.33,13905.68,13766.33,13813.91,295791
2019-02-13,13713.18,13713.18,13442.49,13511.62,660736
2019-02-14,13541.59,13683.15,13295.09,13504.15,351823
2019-02-15,13538.91,13538.91,13335.85,13342.41,362800
2019-02-18,13277.32,13309.62,13117.15,13132.58,350079
2019-02-19,13208.84,13447.7,13208.84,13262.24,430616
2019-02-20,13324.83,13528.87,13324.83,13397.38,621740
2019-02-21,13483.69,13483.69,13158.9,13218.12,666290
2019-02-22,13302.95,13314.91,13129.98,13234.04,672829
2019-02-25,13260.32,13260.32,12676.08,12900.86,370489
2019-02-26,12840.74,13229.36,12840.74,13172.31,696234
2019-02-27,13145.28,13145.28,12925.03,13004.8,508421
2019-02-28,13058.75,13058.75,12923.45,12927.41,499475
2019-03-01,12996.31,13131.84,12952.37,13117.59,606389
2019-03-04,13181.42,13337.66,13106.85,13158.51,466076
2019-03-05,13205.8,13356.24,13205.8,13352.58,416768
2019-03-06,13332.48,13582.02,13332.48,13479.21,571025
2019-03-07,13473.0,13770.54,13473.0,13704.79,544080
2019-03-08,13663.18,13663.18,13535.25,13535.88,583487
2019-03-11,13585.38,13596.22,13478.37,13545.46,645618
2019-03-12,13578.72,13578.72,13525.93,13550.32,517198
2019-03-13,13548.12,13548.12,13170.73,13370.76,182545
2019-03-14,13377.9,13377.9,13270.77,13270.82,291783
2019-03-15,13237.64,13459.49,13211.66,13371.82,668351
2019-03-18,13362.95,13412.93,13085.29,13326.13,709259
2019-03-19,13348.38,13536.35,12976.32,13361.28,449526
2019-03-20,13314.42,13598.01,13314.42,13550.73,436561
2019-03-21,13548.33,13871.65,13548.33,13805.57,516339
2019-03-22,13837.17,13837.17,13627.97,13656.64,532564
2019-03-25,13644.08,13644.08,13304.29,13354.33,232332
2019-03-26,13345.31,13345.31,13047.66,13060.54,339560
2019-03-27,13055.38,13143.57,13049.88,13108.4,529479
2019-03-28,13086.22,13703.85,13086.22,13646.96,530272
2019-03-29,13655.32,14074.42,13655.32,13904.51,354946
2019-04-01,13891.74,14168.92,13891.74,14110.45,455136
2019-04-02,14051.29,14073.07,13960.7,14072.78,742052
2019-04-03,14044.51,14266.44,14044.51,14210.75,788581
2019-04-04,14131.38,14254.79,14005.56,14110.52,251688
2019-04-05,14107.14,14107.14,13704.35,13832.05,730350
2019-04-08,13928.07,14068.93,13882.45,13959.34,469717
2019-04-09,13970.21,14036.85,13859.64,14007.15,863555
2019-04-10,13989.61,14164.98,13987.16,14020.12,407949
2019-04-11,14083.27,14083.27,13687.41,13876.09,684779
2019-04-12,13911.3,14170.43,13911.3,14119.16,415499
2019-04-15,14161.19,14318.96,14157.53,14181.72,492309
2019-04-16,14087.63,14598.1,14087.63,14441.25,533910
2019-04-17,14542.07,14542.07,14235.73,14254.6,427654
2019-04-18,14319.75,14432.22,14194.01,14264.69,592366
2019-04-19,14314.72,14488.21,14274.57,14378.52,528454
2019-04-22,14373.52,14453.66,14091.39,14378.39,433747
2019-04-23,14328.48,14483.39,14328.48,14419.86,708866
2019-04-24,14418.83,14418.83,14226.14,14307.19,410144
2019-04-25,14364.6,14364.6,13971.31,14145.47,402717
2019-04-26,14092.05,14092.05,13945.96,13955.03,100000
2019-04-29,13897.97,14130.29,13897.97,14028.93,768748
2019-04-30,14047.3,14093.48,13972.23,14022.08,450702
2019-05-01,14083.48,14191.35,14083.48,14114.76,527388
2019-05-02,14129.29,14293.35,14098.93,14186.69,298949
2019-05-03,14184.27,14498.14,14184.27,14449.71,595972
2019-05-06,14432.59,14744.08,14432.59,14636.09,682741
2019-05-07,14566.93,14631.39,14323.84,14499.71,780954
2019-05-08,14418.5,14418.93,14134.08,14330.17,599581
2019-05-09,14303.77,14471.43,14303.77,14357.61,609107
2019-05-10,14358.38,14494.3,14358.38,14476.51,326913
2019-05-13,14542.55,14542.55,14205.85,14491.77,933500
2019-05-14,14395.29,14534.44,14367.74,14507.88,647117
2019-05-15,14496.33,14753.39,14342.54,14544.44,469638
2019-05-16,14534.11,14743.27,14384.9,14664.5,630074
2019-05-17,14647.27,14965.55,14571.8,14803.62,730982
2019-05-20,14723.07,15017.71,14723.07,14994.02,531573
2019-05-21,15074.62,15074.62,14589.96,14742.05,555327
2019-05-22,14776.18,14934.48,14739.64,14794.18,559815
2019-05-23,14812.57,15026.84,14812.57,14997.25,658333
2019-05-24,14975.46,15032.41,14975.35,14999.57,838910
2019-05-27,15053.54,15159.91,14817.39,14975.72,484108
2019-05-28,14928.98,15282.75,14675.43,14958.87,497327
2019-05-29,14948.02,15148.46,14948.02,15135.71,791179
2019-05-30,15161.87,15483.14,15161.87,15334.4,803409
2019-05-31,15409.26,15650.25,15315.26,15444.61,482959
2019-06-03,15413.66,15586.04,15220.68,15439.82,729812
2019-06-04,15395.02,15409.57,15318.62,15404.63,960417
2019-06-05,15268.24,15329.18,15246.39,15326.61,305523
2019-06-06,15346.71,15390.17,15168.61,15291.96,531082
2019-06-07,15205.98,15553.66,15205.98,15476.41,520861
2019-06-10,15531.26,15533.19,15337.49,15459.62,624941
2019-06-11,15438.66,15676.16,15438.66,15637.5,542059
2019-06-12,15669.83,15669.83,15397.96,15456.66,646272
2019-06-13,15449.05,15449.05,15319.1,15335.73,661450
2019-06-14,15312.05,15616.97,15312.05,15595.74,550721
2019-06-17,15594.68,15781.62,15499.65,15569.07,220337
2019-06-18,15732.18,15732.18,15393.61,15470.98,1067608
2019-06-19,15423.0,15436.32,15398.65,15432.6,1017655
2019-06-20,15405.98,15517.61,15335.81,15457.21,603865
2019-06-21,15493.16,15493.16,15183.92,15310.57,340080
2019-06-24,15265.61,15298.46,15142.57,15270.76,268018
2019-06-25,15270.38,15270.38,15070.71,15218.41,521653
2019-06-26,15263.62,15263.62,14895.48,14958.93,625160
2019-06-27,14949.18,14949.18,14836.18,14896.82,723266
2019-06-28,14909.52,15329.11,14909.52,15134.42,1114426
2019-07-01,15196.91,15302.59,14864.86,15164.06,608346
2019-07-02,15265.68,15265.68,15011.83,15103.03,652295
2019-07-03,15167.58,15441.52,15167.58,15283.52,716503
2019-07-04,15318.19,15318.19,14958.46,15098.03,525540
2019-07-05,15088.53,15501.64,15088.53,15306.4,1086288
2019-07-08,15367.5,15621.09,15346.26,15417.63,857245
2019-07-09,15439.83,16163.34,15439.83,15993.3,854807
2019-07-10,16065.34,16416.01,16065.34,16312.84,527351
2019-07-11,16449.23,16449.23,15914.85,16210.08,658088
2019-07-12,16224.03,16379.72,15908.4,16130.96,859522
2019-07-15,16089.23,16089.23,15960.8,15975.89,700523
2019-07-16,16117.15,16225.99,16038.01,16084.38,938079
2019-07-17,16051.69,16118.28,15803.15,16038.41,693604
2019-07-18,16059.97,16059.97,15595.53,15616.06,801149
2019-07-19,15522.49,16068.05,15522.49,15958.64,1113679
2019-07-22,16022.85,16022.85,15500.38,15623.15,636298
2019-07-23,15667.42,15667.42,15151.21,15325.19,1145128
2019-07-24,15356.13,15356.13,15037.49,15219.58,809155
2019-07-25,15249.63,15249.63,14735.2,14802.72,623827
2019-07-26,14853.33,14853.33,14409.96,14553.77,759917
2019-07-29,14563.06,14915.79,14563.06,14832.97,1163825
