date,open,high,low,close,volume
2019-01-03,5080.0,5125.64,5052.11,5080.0,1551970
2019-01-04,5080.4,5209.1,5080.4,5175.39,1049572
2019-01-07,5157.83,5407.88,5157.83,5386.15,1826590
2019-01-08,5343.44,5387.31,5305.74,5335.94,1396592
2019-01-09,5371.48,5371.48,5238.42,5251.33,1670514
2019-01-10,5254.51,5254.51,5079.47,5080.42,1057898
2019-01-11,5089.26,5342.09,5089.26,5325.54,1184041
2019-01-14,5341.18,5537.25,5341.18,5509.58,760349
2019-01-15,5494.35,5541.27,5494.35,5536.12,1835988
2019-01-16,5511.18,5511.18,5392.03,5419.5,1767706
2019-01-17,5424.18,5424.18,5371.97,5402.74,1970034
2019-01-18,5397.47,5577.55,5397.47,5552.76,100000
2019-01-21,5564.62,5564.62,5362.91,5472.28,1254488
2019-01-22,5430.25,5505.53,5430.25,5503.85,1350406
2019-01-23,5507.01,5507.01,5470.91,5479.91,1456549
2019-01-24,5487.72,5601.17,5487.72,5575.87,1758807
2019-01-25,5560.42,5560.42,5370.45,5453.19,1725726
2019-01-28,5454.07,5456.31,5342.43,5417.78,1604862
2019-01-29,5386.69,5464.15,5386.69,5447.72,1573313
2019-01-30,5440.44,5445.97,5388.43,5390.49,1625017
2019-01-31,5378.31,5378.31,5293.09,5302.26,2052674
2019-02-01,5278.29,5283.85,5236.16,5282.08,843700
2019-02-04,5281.38,5281.38,5110.35,5147.27,596500
2019-02-05,5151.47,5151.47,5100.59,5102.27,2884092
2019-02-06,5068.16,5087.23,5017.38,5070.47,1973671
2019-02-07,5102.83,5213.38,5069.95,5105.97,1747327
2019-02-08,5114.33,5114.33,5001.41,5033.97,1491820
2019-02-11,5036.73,5036.73,4941.79,4975.34,1758515
2019-02-12,4988.02,5034.74,4973.38,5029.43,1328484
2019-02-13,5045.01,5122.77,5027.9,5074.06,1766343
2019-02-14,5108.31,5203.5,5108.31,5191.04,2951595
2019-02-15,5185.33,5242.09,5181.17,5214.42,2259450
2019-02-18,5217.0,5265.63,5208.7,5253.12,1980868
2019-02-19,5291.81,5291.81,5195.2,5227.25,2696687
2019-02-20,5236.97,5418.06,5236.97,5404.54,2553925
2019-02-21,5405.71,5442.14,5372.06,5378.11,2383331
2019-02-22,5354.28,5450.76,5354.28,5426.76,1807572
2019-02-25,5397.45,5401.65,5342.94,5374.75,1107031
2019-02-26,5372.56,5372.56,5271.66,5294.39,2245296
2019-02-27,5299.35,5323.0,5289.67,5321.95,1624934
2019-02-28,5336.41,5336.41,5200.43,5240.6,961442
2019-03-01,5250.61,5255.02,5235.22,5249.34,1701563
2019-03-04,5228.68,5239.59,5134.21,5213.11,2057014
2019-03-05,5204.9,5204.9,5138.81,5156.4,1826015
2019-03-06,5139.42,5139.42,4979.16,5019.97,1627351
2019-03-07,5030.59,5030.59,4995.15,5003.05,1821309
2019-03-08,4998.08,4998.08,4898.69,4945.34,2006806
2019-03-11,4968.47,4968.47,4910.93,4934.5,2209172
2019-03-12,4956.36,5043.86,4956.36,4996.78,1183238
2019-03-13,4975.07,5098.86,4975.07,5060.14,2418239
2019-03-14,5075.0,5136.74,5070.96,5086.36,2080770
2019-03-15,5120.52,5156.83,5053.69,5080.99,1388256
2019-03-18,5102.21,5103.34,5050.88,5070.78,733526
2019-03-19,5062.79,5146.84,5008.5,5129.38,1459037
2019-03-20,5121.61,5180.79,5058.52,5142.45,2885390
2019-03-21,5148.43,5200.95,5091.39,5174.09,2117127
2019-03-22,5134.93,5236.03,5134.93,5204.32,3360866
2019-03-25,5202.7,5258.52,5163.18,5207.86,2005729
2019-03-26,5207.6,5207.6,5084.8,5108.64,585676
2019-03-27,5113.41,5149.06,5099.4,5135.62,2549602
2019-03-28,5133.45,5202.81,5127.39,5156.07,3029634
2019-03-29,5185.11,5185.11,5052.2,5085.7,2709852
2019-04-01,5070.16,5070.16,5029.6,5053.64,2336479
2019-04-02,5046.57,5078.07,5004.84,5049.58,2738594
2019-04-03,5029.62,5037.42,4983.59,5013.82,3490439
2019-04-04,5034.33,5034.33,4862.78,4916.81,2632554
2019-04-05,4913.11,5010.54,4913.11,4926.74,2357266
2019-04-08,4950.1,4950.1,4861.9,4873.52,2232516
2019-04-09,4874.67,4874.67,4775.92,4791.96,3014549
2019-04-10,4769.09,4769.09,4738.25,4743.85,2580619
2019-04-11,4725.69,4727.88,4646.13,4682.33,2571504
2019-04-12,4709.11,4779.29,4709.11,4778.7,3042688
2019-04-15,4755.27,4846.24,4755.27,4824.73,3247849
2019-04-16,4802.03,4802.03,4695.13,4746.29,3283112
2019-04-17,4727.15,4862.63,4727.15,4787.2,2545025
2019-04-18,4807.9,4864.37,4807.9,4862.47,2087150
2019-04-19,4834.2,4837.39,4743.85,4766.88,1471888
2019-04-22,4773.44,4773.44,4627.98,4635.89,2668937
2019-04-23,4652.51,4741.18,4652.51,4705.01,2334708
2019-04-24,4707.95,4798.96,4652.81,4761.27,3318800
