date,open,high,low,close,volume
2019-01-03,402.0,405.07,393.68,402.0,7169377
2019-01-04,401.68,401.68,385.41,387.68,7298497
2019-01-07,387.1,399.57,387.1,397.82,3009772
2019-01-08,397.45,397.45,390.41,393.71,4809882
2019-01-09,392.29,392.29,385.93,387.63,4846077
2019-01-10,387.35,396.11,385.95,389.44,4290207
2019-01-11,391.17,391.17,371.96,377.25,6876799
2019-01-14,376.07,388.35,376.07,386.56,8400523
2019-01-15,387.06,406.35,387.06,403.76,5928352
2019-01-16,405.18,406.88,400.84,402.14,5633201
2019-01-17,399.98,399.98,393.66,394.25,3446257
2019-01-18,394.12,394.12,379.66,383.58,7366451
2019-01-21,384.35,386.93,384.35,386.74,5395122
2019-01-22,386.61,394.11,386.61,393.04,8475086
2019-01-23,392.95,392.95,383.29,386.29,6773586
2019-01-24,388.02,395.72,388.02,390.56,5383850
2019-01-25,390.73,398.42,390.73,393.96,5925256
2019-01-28,393.33,395.3,385.89,388.28,7086020
2019-01-29,390.28,393.44,385.87,388.68,5603484
2019-01-30,386.62,391.63,386.62,388.74,7516854
2019-01-31,390.28,390.28,385.62,388.83,5909997
2019-02-01,391.37,401.05,391.37,394.65,6257740
2019-02-04,394.02,409.97,394.02,407.92,6372829
2019-02-05,407.83,407.83,400.69,405.65,8260074
2019-02-06,405.35,408.12,402.73,407.6,8676087
2019-02-07,408.92,410.69,404.66,409.43,4285509
2019-02-08,408.56,415.65,407.75,412.97,9174522
2019-02-11,413.73,415.67,407.73,412.89,3706147
2019-02-12,413.93,413.93,408.51,408.76,4915720
2019-02-13,409.82,411.06,409.34,410.12,6258207
2019-02-14,409.62,410.77,400.14,405.07,5930198
2019-02-15,404.49,411.96,403.06,405.8,7230793
2019-02-18,405.71,410.56,400.62,405.84,6877673
2019-02-19,406.22,407.72,403.44,405.14,5859539
2019-02-20,403.08,403.21,398.34,403.16,6461039
2019-02-21,403.72,403.72,400.98,401.49,6177828
2019-02-22,404.0,404.0,396.61,398.03,4814201
2019-02-25,400.23,400.23,389.21,390.68,6225473
2019-02-26,388.96,395.58,384.52,390.82,5704949
2019-02-27,391.68,391.68,385.26,388.27,8161362
2019-02-28,388.57,395.56,384.56,388.59,5052016
2019-03-01,386.59,388.74,383.77,386.06,5700257
2019-03-04,385.29,386.1,380.55,384.93,5522336
2019-03-05,387.36,394.05,386.43,386.72,8521951
2019-03-06,389.11,389.11,383.52,386.15,4900700
2019-03-07,389.52,389.52,385.36,385.62,7467746
2019-03-08,387.4,399.45,387.4,396.12,8034044
2019-03-11,397.1,408.76,397.1,405.11,6826646
2019-03-12,406.91,406.91,398.04,400.85,7350872
2019-03-13,400.79,401.91,392.18,396.32,7339359
2019-03-14,397.21,397.48,396.06,397.2,5366986
2019-03-15,397.78,397.78,390.35,394.34,5206635
2019-03-18,395.3,395.3,387.36,392.97,9411605
2019-03-19,394.46,402.49,394.46,398.05,8459117
2019-03-20,398.27,410.25,398.27,407.47,5918882
2019-03-21,404.99,404.99,392.52,394.24,5175469
2019-03-22,393.81,393.81,377.81,378.31,10236332
2019-03-25,377.33,386.07,377.33,384.84,3550267
2019-03-26,384.47,387.8,377.23,383.85,8323246
2019-03-27,386.5,386.5,367.86,368.54,7427437
2019-03-28,371.0,378.82,371.0,376.73,6460807
2019-03-29,378.41,378.41,373.18,373.72,7879749
2019-04-01,372.36,372.36,364.07,367.85,7096669
2019-04-02,366.58,379.11,366.58,377.17,6703240
2019-04-03,375.31,375.31,365.38,366.63,6097116
2019-04-04,367.09,367.09,353.44,357.3,9973949
2019-04-05,357.32,364.95,357.32,363.36,6493764
2019-04-08,362.48,365.43,362.35,363.5,7405380
2019-04-09,363.15,363.15,358.18,361.85,6329911
2019-04-10,361.58,365.48,357.66,364.57,1658580
2019-04-11,364.77,369.93,364.77,365.18,6779519
2019-04-12,363.94,367.87,363.94,366.02,10673021
2019-04-15,366.52,370.68,366.52,367.83,6709144
2019-04-16,370.16,370.16,354.38,357.65,7752537
2019-04-17,358.43,369.28,358.43,366.17,8874757
2019-04-18,364.64,366.97,363.32,366.36,8210473
2019-04-19,366.59,370.45,365.52,367.98,6999727
2019-04-22,369.62,372.25,365.42,368.19,4632855
2019-04-23,368.94,371.69,364.73,368.19,9175038
2019-04-24,368.42,380.81,368.42,379.26,7478509
2019-04-25,377.16,377.16,369.12,369.65,5757215
2019-04-26,367.25,369.6,367.17,369.53,11546156
2019-04-29,369.91,369.91,362.78,364.12,12382586
2019-04-30,364.22,372.46,364.22,371.44,8814417
2019-05-01,373.57,380.74,373.57,377.05,4908410
2019-05-02,375.62,375.62,365.32,371.83,9679705
2019-05-03,372.89,374.62,372.89,374.58,7723856
2019-05-06,374.91,374.91,364.8,370.08,9461177
2019-05-07,370.67,381.51,370.67,379.22,8813728
2019-05-08,376.59,376.59,367.66,370.82,9082350
2019-05-09,372.23,372.23,366.49,369.03,5571326
2019-05-10,370.25,372.44,370.25,370.46,9046289
2019-05-13,371.02,375.67,370.24,370.71,9480577
2019-05-14,368.16,371.2,368.16,368.92,8076190
2019-05-15,368.49,373.08,367.29,371.21,6347095
2019-05-16,372.07,375.77,363.91,371.26,7261023
2019-05-17,374.78,378.28,371.25,373.35,10945752
2019-05-20,375.2,375.2,369.79,371.0,10487625
2019-05-21,371.09,371.09,359.32,361.66,7314701
2019-05-22,361.02,363.89,360.35,360.43,6135983
2019-05-23,361.92,370.33,361.92,370.15,10971621
2019-05-24,368.86,376.41,368.86,373.64,4210214
