date,open,high,low,close,volume
2019-01-03,198.7,201.49,197.57,198.7,77421068
2019-01-04,199.65,202.69,199.02,201.27,29366279
2019-01-07,201.61,201.91,199.88,200.54,43294574
2019-01-08,200.67,202.39,199.97,201.79,60086565
2019-01-09,201.46,205.77,201.46,202.94,34040343
2019-01-10,204.75,204.8,203.85,204.25,66131262
2019-01-11,204.92,204.92,199.29,200.55,33696090
2019-01-14,200.99,200.99,189.29,191.81,32547391
2019-01-15,191.74,191.82,190.94,191.25,50371828
2019-01-16,191.63,194.15,191.63,193.89,35374431
2019-01-17,194.47,195.37,190.75,194.67,55330935
2019-01-18,194.45,199.62,194.45,198.39,37736789
2019-01-21,197.68,203.77,197.68,202.54,37222662
2019-01-22,201.98,206.33,201.98,205.95,29321287
2019-01-23,206.4,207.72,203.3,203.79,35699709
2019-01-24,203.27,210.48,203.27,210.31,48426243
2019-01-25,209.69,211.09,209.69,210.87,36039147
2019-01-28,209.06,215.14,209.06,211.5,33477816
2019-01-29,211.24,211.24,199.9,203.73,70223431
2019-01-30,203.43,203.43,197.25,198.28,33274072
2019-01-31,197.73,197.73,192.89,193.31,49939964
2019-02-01,193.21,193.9,192.41,193.47,56679493
2019-02-04,193.03,198.02,193.03,197.29,40696821
2019-02-05,197.41,197.41,190.46,190.79,32427518
2019-02-06,190.38,191.25,188.96,190.06,55505036
2019-02-07,190.39,190.39,185.24,187.25,32451885
2019-02-08,186.79,187.56,186.42,186.87,27915014
2019-02-11,185.65,191.31,185.65,191.16,59012973
2019-02-12,191.05,194.11,191.05,191.38,18364826
2019-02-13,192.15,197.69,192.15,196.34,55406627
2019-02-14,196.77,201.36,196.77,199.11,46173745
2019-02-15,199.47,200.66,199.41,199.69,43570941
2019-02-18,198.81,206.32,198.81,206.26,46526956
2019-02-19,206.36,214.35,206.36,213.29,36821739
2019-02-20,212.67,212.67,207.52,209.59,25489560
2019-02-21,209.9,211.19,209.32,210.42,60559003
2019-02-22,210.43,210.43,207.38,208.94,46383684
2019-02-25,208.96,220.45,208.96,219.15,39231837
2019-02-26,220.1,227.13,220.1,222.38,35782299
2019-02-27,224.33,226.25,221.12,224.23,34471872
2019-02-28,223.85,223.93,221.67,223.21,21679045
2019-03-01,223.74,223.74,218.08,220.98,50572782
2019-03-04,221.29,224.42,221.29,222.11,66320222
2019-03-05,221.74,222.13,221.33,221.74,45147666
2019-03-06,220.57,232.49,220.57,229.67,42558794
