,usdrub
2019-01-03,69.51
2019-01-04,69.56
2019-01-07,69.48
2019-01-08,69.39
2019-01-09,69.34
2019-01-10,69.27
2019-01-11,69.33
2019-01-14,69.1
2019-01-15,69.16
2019-01-16,69.19
2019-01-17,69.13
2019-01-18,69.11
2019-01-21,68.94
2019-01-22,68.87
2019-01-23,68.83
2019-01-24,68.85
2019-01-25,68.8
2019-01-28,68.8
2019-01-29,68.83
2019-01-30,68.74
2019-01-31,68.7
2019-02-01,68.61
2019-02-04,68.46
2019-02-05,68.34
2019-02-06,68.41
2019-02-07,68.51
2019-02-08,68.48
2019-02-11,68.26
2019-02-12,68.21
2019-02-13,68.15
2019-02-14,68.15
2019-02-15,68.15
2019-02-18,67.94
2019-02-19,67.83
2019-02-20,67.82
2019-02-21,67.79
2019-02-22,67.73
2019-02-25,67.65
2019-02-26,67.69
2019-02-27,67.72
2019-02-28,67.69
2019-03-01,67.66
2019-03-04,67.61
2019-03-05,67.62
2019-03-06,67.54
2019-03-07,67.48
2019-03-08,67.48
2019-03-11,67.4
2019-03-12,67.35
2019-03-13,67.35
2019-03-14,67.35
2019-03-15,67.32
2019-03-18,67.17
2019-03-19,67.18
2019-03-20,67.22
2019-03-21,67.18
2019-03-22,67.05
2019-03-25,67.06
2019-03-26,67.02
2019-03-27,67.04
2019-03-28,67.11
2019-03-29,67.13
2019-04-01,67.0
2019-04-02,67.02
2019-04-03,66.92
2019-04-04,66.86
2019-04-05,66.8
2019-04-08,66.73
2019-04-09,66.69
2019-04-10,66.8
2019-04-11,66.71
2019-04-12,66.73
2019-04-15,66.7
2019-04-16,66.75
2019-04-17,66.69
2019-04-18,66.72
2019-04-19,66.7
2019-04-22,66.66
2019-04-23,66.64
2019-04-24,66.64
2019-04-25,66.6
2019-04-26,66.48
2019-04-29,66.44
2019-04-30,66.42
2019-05-01,66.3
2019-05-02,66.35
2019-05-03,66.4
2019-05-06,66.36
2019-05-07,66.44
2019-05-08,66.39
2019-05-09,66.33
2019-05-10,66.4
2019-05-13,66.25
2019-05-14,66.22
2019-05-15,66.22
2019-05-16,66.2
2019-05-17,66.17
2019-05-20,66.07
2019-05-21,65.97
2019-05-22,65.95
2019-05-23,66.04
2019-05-24,65.99
2019-05-27,65.89
2019-05-28,65.9
2019-05-29,65.81
2019-05-30,65.74
2019-05-31,65.7
2019-06-03,65.7
2019-06-04,65.59
2019-06-05,65.46
2019-06-06,65.45
2019-06-07,65.43
2019-06-10,65.24
2019-06-11,65.13
2019-06-12,65.04
2019-06-13,64.98
2019-06-14,64.97
2019-06-17,64.81
2019-06-18,64.79
2019-06-19,64.74
2019-06-20,64.73
2019-06-21,64.65
2019-06-24,64.55
2019-06-25,64.57
2019-06-26,64.61
2019-06-27,64.55
2019-06-28,64.55
2019-07-01,64.51
2019-07-02,64.57
2019-07-03,64.58
2019-07-04,64.69
2019-07-05,64.65
2019-07-08,64.65
2019-07-09,64.64
2019-07-10,64.61
2019-07-11,64.67
2019-07-12,64.64
2019-07-15,64.64
2019-07-16,64.53
2019-07-17,64.54
2019-07-18,64.45
2019-07-19,64.62
2019-07-22,64.59
2019-07-23,64.6
2019-07-24,64.53
2019-07-25,64.48
2019-07-26,64.35
2019-07-29,64.38
2019-07-30,64.37
2019-07-31,64.31
2019-08-01,64.38
2019-08-02,64.32
2019-08-05,64.28
2019-08-06,64.28
2019-08-07,64.28
2019-08-08,64.23
2019-08-09,64.18
2019-08-12,64.2
2019-08-13,64.13
2019-08-14,64.06
2019-08-15,64.03
2019-08-16,64.01
2019-08-19,63.97
2019-08-20,63.96
2019-08-21,63.99
2019-08-22,64.0
2019-08-23,63.98
2019-08-26,63.91
2019-08-27,63.92
2019-08-28,63.84
2019-08-29,63.83
2019-08-30,63.86
2019-09-02,63.87
2019-09-03,63.82
2019-09-04,63.74
2019-09-05,63.66
2019-09-06,63.63
2019-09-09,63.63
2019-09-10,63.59
2019-09-11,63.55
2019-09-12,63.51
2019-09-13,63.45
2019-09-16,63.48
2019-09-17,63.44
2019-09-18,63.48
2019-09-19,63.44
2019-09-20,63.44
2019-09-23,63.38
2019-09-24,63.46
2019-09-25,63.54
2019-09-26,63.57
2019-09-27,63.58
2019-09-30,63.59
2019-10-01,63.47
2019-10-02,63.51
2019-10-03,63.53
2019-10-04,63.53
2019-10-07,63.5
2019-10-08,63.54
2019-10-09,63.52
2019-10-10,63.33
2019-10-11,63.38
2019-10-14,63.36
2019-10-15,63.32
2019-10-16,63.3
2019-10-17,63.24
2019-10-18,63.24
2019-10-21,63.17
2019-10-22,63.18
2019-10-23,63.22
2019-10-24,63.15
2019-10-25,63.16
2019-10-28,63.13
2019-10-29,63.14
2019-10-30,63.05
2019-10-31,62.99
2019-11-01,62.9
2019-11-04,62.94
2019-11-05,62.86
2019-11-06,62.69
2019-11-07,62.72
2019-11-08,62.66
2019-11-11,62.63
2019-11-12,62.58
2019-11-13,62.61
2019-11-14,62.64
2019-11-15,62.74
2019-11-18,62.67
2019-11-19,62.59
2019-11-20,62.48
2019-11-21,62.44
2019-11-22,62.41
2019-11-25,62.34
2019-11-26,62.33
2019-11-27,62.24
2019-11-28,62.17
2019-11-29,62.09
2019-12-02,62.0
2019-12-03,61.93
2019-12-04,61.84
2019-12-05,61.92
2019-12-06,61.91
2019-12-09,61.85
2019-12-10,61.86
2019-12-11,61.95
2019-12-12,62.01
2019-12-13,62.07
2019-12-16,62.06
2019-12-17,62.03
2019-12-18,62.01
2019-12-19,62.02
2019-12-20,62.03
2019-12-23,61.95
2019-12-24,61.91
2019-12-25,61.85
2019-12-26,61.84
2019-12-27,61.77
2019-12-30,61.71
2019-12-31,61.73
2020-01-01,61.59
2020-01-02,61.54
2020-01-03,61.54
2020-01-06,61.48
